date,population,growth_rate
1980,9627002,1.17
1981,9719841,0.96
1982,9796829,0.79
1983,9860739,0.65
1984,9916482,0.57
1985,9968238,0.52
1986,10015119,0.47
1987,10057297,0.42
1988,10101352,0.44
1989,10155723,0.54
1990,10225992,0.69
1991,10315107,0.87
1992,10420236,1.02
1993,10533815,1.09
1994,10644949,1.06
1995,10745503,0.94
1996,10832141,0.81
1997,10906257,0.68
1998,10970121,0.59
1999,11027900,0.53
2000,11082104,0.49
2001,11134457,0.47
2002,11182305,0.43
2003,11218884,0.33
2004,11234992,0.14
2005,11224791,-0.09
2006,11185228,-0.35
2007,11120358,-0.58
2008,11040309,-0.72
2009,10959272,-0.73
2010,10887637,-0.65
2011,10829079,-0.54
2012,10781125,-0.44
2013,10740500,-0.38
2014,10701456,-0.36
2015,10659750,-0.39
2016,10615185,-0.42
2017,10569450,-0.43
2018,10522246,-0.45
2019,10473455,-0.46
